Equation_num_0_latex: "\genfrac{(}{)}{0.0pt}{}{n}{k}=\frac{n!}{(n-k)!k!}=\genfrac{(}{)}{0.0pt}{}{n}{n-k}"
Equation_num_9_text_2: "Add up p sub 1, p sub 2, and the rest of the p's until p sub n, and the total should be 1."

Equation_num_10_latex: "M(r)=(p_{1}a_{1}^{r}+p_{2}a_{2}^{r}+\dots+p_{n}a_{n}^{r})^{1/r}"
Equation_num_10_text_0: "M of r equals the sum of p one times a one raised to the power of r, plus p two times a two raised to the power of r, and so on, all raised to the power of one over r."
Equation_num_10_text_1: "M of r is equal to the sum of each p value multiplied by its corresponding a value raised to the power of r, all of which is then raised to the power of one over r."
Equation_num_10_text_2: "To calculate M of r, add up each p value multiplied by its corresponding a value raised to the power of r. Finally, take the whole sum and raise it to the power of one over r."

Equation_num_11_latex: "M(r)=0"
Equation_num_11_text_0: "M of r equals zero."
Equation_num_11_text_1: "M of r is equal to zero."
Equation_num_11_text_2: "M at r is zero."

Equation_num_12_latex: "\lim_{r\to\infty}M(r)=\max(a_{1},a_{2},\dots,a_{n})"
Equation_num_12_text_0: "The limit as r approaches infinity of M of r is equal to the maximum of a sub 1, a sub 2, dot dot dot, a sub n."
Equation_num_12_text_1: "As r goes to infinity, M of r approaches the largest value among a sub 1, a sub 2, dot dot dot, a sub n."
Equation_num_12_text_2: "When r tends to infinity, M of r reaches the highest value among a sub 1, a sub 2, dot dot dot, a sub n."

Equation_num_13_latex: "\lim_{r\to-\infty}M(r)=\min(a_{1},a_{2},\dots,a_{n})"
Equation_num_13_text_0: "The limit of M of r as r approaches negative infinity is equal to the minimum of a sub 1, a sub 2, dot dot dot, a sub n."
Equation_num_13_text_1: "As r approaches negative infinity, M of r approaches the smallest value among a sub 1, a sub 2, dot dot dot, a sub n."
Equation_num_13_text_2: "When r tends to negative infinity, M of r tends to the minimum value among a sub 1, a sub 2, dot dot dot, a sub n."

Equation_num_14_latex: "\det[a_{jk}]=\begin{vmatrix}a_{11}&a_{12}"
Equation_num_14_text_0: "Determinant of a matrix A is equal to the absolute value of the expression a one one times a one two."
Equation_num_14_text_1: "The determinant of matrix A is given by the absolute value of a one one multiplied by a one two."
Equation_num_14_text_2: "To find the determinant of matrix A, take the absolute value of a one one times a one two."

Equation_num_15_latex: "a_{21}&a_{22}\end{vmatrix}=a_{11}a_{22}-a_{12}a_{21}"
Equation_num_15_text_0: "The determinant of the matrix A is equal to a one one multiplied by a two two, minus a one two multiplied by a two one."
Equation_num_15_text_1: "The determinant of matrix A equals a one one times a two two, minus a one two times a two one."
Equation_num_15_text_2: "To find the determinant of matrix A, multiply a one one by a two two and subtract the product of a one two and a two one."

Equation_num_16_latex: "\det[a_{jk}]=\begin{vmatrix}a_{11}&a_{12}&a_{13}"
Equation_num_16_text_0: "Determinant of a matrix A is equal to the absolute value of the matrix formed by the elements a11, a12, and a13."
Equation_num_16_text_1: "The determinant of matrix A is the absolute value of the matrix with elements a11, a12, and a13."
Equation_num_16_text_2: "The determinant of A is the absolute value of the matrix containing a11, a12, and a13."

Equation_num_17_latex: "a_{21}&a_{22}&a_{23}"
Equation_num_17_text_0: "a sub twenty-one, a sub twenty-two, a sub twenty-three"
Equation_num_17_text_1: "a twenty-one, a twenty-two, a twenty-three"
Equation_num_17_text_2: "a two-one, a two-two, a two-three"

Equation_num_18_latex: "a_{31}&a_{32}&a_{33}\end{vmatrix}=a_{11}\begin{vmatrix}a_{22}&a_{23}"
Equation_num_18_text_0: "The determinant of the matrix with elements a sub 31, a sub 32, and a sub 33 is equal to a sub 11 times the determinant of the matrix with elements a sub 22 and a sub 23."
Equation_num_18_text_1: "The value of the determinant for the matrix containing a sub 31, a sub 32, and a sub 33 is the product of a sub 11 and the determinant of the matrix containing a sub 22 and a sub 23."
Equation_num_18_text_2: "To find the determinant of the matrix with a sub 31, a sub 32, and a sub 33, multiply a sub 11 by the determinant of the matrix with a sub 22 and a sub 23."

Equation_num_19_latex: "a_{32}&a_{33}\end{vmatrix}-a_{12}\begin{vmatrix}a_{21}&a_{23}"
Equation_num_19_text_0: "The determinant of the matrix formed by a sub 32 and a sub 33, minus the product of a sub 12 and the determinant of the matrix formed by a sub 21 and a sub 23."
Equation_num_19_text_1: "The determinant of a sub 32 and a sub 33, minus a sub 12 times the determinant of a sub 21 and a sub 23."
Equation_num_19_text_2: "The result of subtracting the product of a sub 12 and the determinant of a sub 21 and a sub 23 from the determinant of a sub 32 and a sub 33."

Equation_num_20_latex: "a_{31}&a_{33}\end{vmatrix}+a_{13}\begin{vmatrix}a_{21}&a_{22}"
Equation_num_20_text_0: "The determinant of a matrix equals a_{11} multiplied by the determinant of the submatrix formed by excluding the first row and first column, minus a_{12} multiplied by the determinant of the submatrix formed by excluding the first row and second column, plus a_{13} multiplied by the determinant of the submatrix formed by excluding the first row and third column."
Equation_num_20_text_1: "To find the determinant of a matrix, you take a_{11} times the determinant of the submatrix without the first row and first column, subtract a_{12} times the determinant of the submatrix without the first row and second column, and add a_{13} times the determinant of the submatrix without the first row and third column."
Equation_num_20_text_2: "The determinant of a matrix is calculated by multiplying a_{11} with the determinant of the submatrix obtained by removing the first row and first column. Then, subtract a_{12} times the determinant of the submatrix obtained by removing the first row and second column, and finally, add a_{13} times the determinant of the submatrix obtained by removing the first row and third column."

Equation_num_21_latex: "A_{jk}=(-1)^{j+k}M_{jk}"
Equation_num_21_text_0: "A sub j k equals negative one raised to the power of j plus k, times M sub j k."
Equation_num_21_text_1: "A j k equals negative one to the power of j plus k, times M j k."
Equation_num_21_text_2: "A j k equals negative one raised to the j plus k power, times M j k."

Equation_num_22_latex: "\det[a_{jk}]=\sum^{n}_{\ell=1}a_{j\ell}A_{j\ell}"
Equation_num_22_text_0: "Determinant of matrix A sub j k equals the sum from 1 to n of a sub j l times A sub j l."
Equation_num_22_text_1: "The determinant of matrix A sub j k is the sum of a sub j l times A sub j l, where l ranges from 1 to n."
Equation_num_22_text_2: "To find the determinant of matrix A sub j k, we add up the products of a sub j l and A sub j l, with l going from 1 to n."

Equation_num_23_latex: "\det[a_{jk}]^{\mathrm{T}}=\det[a_{jk}]"
Equation_num_23_text_0: "Determinant of the transpose of matrix A sub jk equals determinant of matrix A sub jk."
Equation_num_23_text_1: "Transpose of the determinant of matrix A sub jk equals determinant of matrix A sub jk."
Equation_num_23_text_2: "The determinant of the transpose of matrix A sub jk is equal to the determinant of matrix A sub jk."

Equation_num_24_latex: "\det[a_{jk}]^{-1}=\frac{1}{\det[a_{jk}]}"
Equation_num_24_text_0: "The inverse of the determinant of a matrix A sub jk is equal to one divided by the determinant of matrix A sub jk."
Equation_num_24_text_1: "The reciprocal of the determinant of matrix A sub jk is equal to one over the determinant of matrix A sub jk."
Equation_num_24_text_2: "To find the inverse of the determinant of matrix A sub jk, simply take the reciprocal of the determinant of matrix A sub jk."

Equation_num_25_latex: "\det([a_{jk}][b_{jk}])=(\det[a_{jk}])(\det[b_{jk}])"
Equation_num_25_text_0: "Determinant of the product of matrices A and B equals determinant of A times determinant of B."
Equation_num_25_text_1: "The determinant of the matrix product AB is equal to the determinant of A multiplied by the determinant of B."
Equation_num_25_text_2: "When multiplying matrices A and B, the determinant of their product is the product of their determinants."

Equation_num_26_latex: "{\begin{vmatrix}a_{11}&a_{12}"
Equation_num_26_text_0: "The absolute value of the determinant of the matrix with elements a sub one one and a sub one two."
Equation_num_26_text_1: "The absolute value of the determinant of the matrix containing a one one and a one two."
Equation_num_26_text_2: "The absolute value of the determinant of the matrix a one one and a one two."

Equation_num_27_latex: "a_{21}&a_{22}\end{vmatrix}}^{2}\leq(a^{2}_{11}+a^{2}_{12})(a^{2}_{21}+a^{2}_{22})"
Equation_num_27_text_0: "The absolute value of the determinant of matrix A, divided by 2, squared, is less than or equal to the sum of the squares of the elements in the first row of matrix A, multiplied by the sum of the squares of the elements in the second row of matrix A."
Equation_num_27_text_1: "The determinant of matrix A, divided by 2, squared, is less than or equal to the sum of the squares of the elements in the first row of matrix A, multiplied by the sum of the squares of the elements in the second row of matrix A."
Equation_num_27_text_2: "The determinant of matrix A, divided by 2, squared, is less than or equal to the sum of the squares of the elements in the first row of matrix A, times the sum of the squares of the elements in the second row of matrix A."

Equation_num_28_latex: "\det[f_{k}(x_{j})]"
Equation_num_28_text_0: "Determinant of f sub k of x sub j."
Equation_num_28_text_1: "Determinant of f k of x j."
Equation_num_28_text_2: "Determinant of f k of x j."

Equation_num_29_latex: "\det[f(x_{j},y_{k})]"
Equation_num_29_text_0: "Determinant of f of x sub j, y sub k."
Equation_num_29_text_1: "Determinant of f of x j, y k."
Equation_num_29_text_2: "Determinant of f of x j, y k."

Equation_num_30_latex: "\begin{vmatrix}1&x_{1}&x^{2}_{1}&\cdots&x^{n-1}_{1}"
Equation_num_30_text_0: "The determinant of the matrix with the first row as 1, x sub 1, x sub 1 squared, and so on up to x sub 1 to the power of n minus 1."
Equation_num_30_text_1: "The determinant of the matrix containing the values 1, x sub 1, x sub 1 squared, and so on up to x sub 1 to the power of n minus 1 in its first row."
Equation_num_30_text_2: "The determinant of the matrix formed by the first row consisting of 1, x sub 1, x sub 1 squared, and so on up to x sub 1 to the power of n minus 1."

Equation_num_31_latex: "1&x_{2}&x^{2}_{2}&\cdots&x^{n-1}_{2}"
Equation_num_31_text_0: "One, x sub 2, x squared sub 2, dot dot dot, x to the power of n minus 1 sub 2."
Equation_num_31_text_1: "One, x two, x squared two, and so on, up to x to the power of n minus 1 two."
Equation_num_31_text_2: "One, x sub 2, x squared sub 2, and so forth, up to x to the power of n minus 1 sub 2."

Equation_num_32_latex: "\vdots&\vdots&\vdots&\ddots&\vdots"
Equation_num_32_text_0: "Dot dot dot, dot dot dot, dot dot dot, dot dot dot, dot dot dot."
Equation_num_32_text_1: "Continuing pattern of dots, continuing pattern of dots, continuing pattern of dots, continuing pattern of dots, continuing pattern of dots."
Equation_num_32_text_2: "Dots in a vertical line, dots in a vertical line, dots in a vertical line, dots in a diagonal line, dots in a vertical line."

Equation_num_33_latex: "1&x_{n}&x^{2}_{n}&\cdots&x_{n}^{n-1}\end{vmatrix}=\prod_{1\leq j<k\leq n}(x_{k}-x_{j})"
Equation_num_33_text_0: "The determinant of the matrix with elements 1, x sub n, x sub n squared, and so on up to x sub n to the power of n minus 1, is equal to the product of all the differences between x sub k and x sub j, where j is less than k."
Equation_num_33_text_1: "The determinant of a matrix containing a sequence of powers of x sub n is equal to the product of all the differences between pairs of x sub k and x sub j, where j is less than k."
Equation_num_33_text_2: "The determinant of a matrix formed by a series of powers of x sub n is equal to the product of all the differences between x sub k and x sub j, where j is smaller than k."

Equation_num_34_latex: "\begin{vmatrix}a_{1}&a_{2}&\cdots&a_{n}"
Equation_num_34_text_0: "The absolute value of the determinant of a matrix with elements a sub 1, a sub 2, dot dot dot, a sub n."
Equation_num_34_text_1: "The absolute value of the determinant of a matrix containing elements a one, a two, and so on up to a n."
Equation_num_34_text_2: "The absolute value of the determinant of a matrix represented by a sub 1, a sub 2, and so forth, up to a sub n."

Equation_num_35_latex: "a_{n}&a_{1}&\cdots&a_{n-1}"
Equation_num_35_text_0: "a sub n, a sub 1, dot dot dot, a sub n minus 1"
Equation_num_35_text_1: "a n, a 1, dot dot dot, a n minus 1"
Equation_num_35_text_2: "a n, a 1, and so on, up to a n minus 1"

Equation_num_36_latex: "\vdots&\vdots&\ddots&\vdots"
Equation_num_36_text_0: "Dot dot dot, dot dot dot, dot dot dot, dot dot dot."
Equation_num_36_text_1: "Continuing pattern of dots, continuing pattern of dots, continuing pattern of dots, continuing pattern of dots."
Equation_num_36_text_2: "Dots in a vertical line, dots in a vertical line, dots in a diagonal line, dots in a vertical line."

Equation_num_37_latex: "\det[t_{jk}]=\prod_{1\leq j<k\leq n}(x_{j}-x_{k})\prod_{2\leq j\leq k\leq n}(b_{j}-a_{k})"
Equation_num_37_text_0: "The determinant of t sub jk is equal to the product of x sub j minus x sub k, for all j less than k and less than or equal to n, multiplied by the product of b sub j minus a sub k, for all j greater than or equal to 2 and less than or equal to n."
Equation_num_37_text_1: "To find the determinant of t sub jk, we multiply together the differences between x sub j and x sub k, where j is less than k and less than or equal to n. Then, we multiply this by the differences between b sub j and a sub k, where j is greater than or equal to 2 and less than or equal to n."
Equation_num_37_text_2: "The formula for calculating the determinant of t sub jk involves multiplying the terms (x sub j minus x sub k) for all j less than k and less than or equal to n, and then multiplying this by the terms (b sub j minus a sub k) for all j greater than or equal to 2 and less than or equal to n."

Equation_num_38_latex: "D_{n}[a_{j,k}]=\begin{vmatrix}a_{-n,-n}&a_{-n,-n+1}&\dots&a_{-n,n}"
Equation_num_38_text_0: "D sub n of a sub j, k equals the determinant of a matrix with elements a sub negative n, negative n, a sub negative n, negative n plus 1, and so on up to a sub negative n, n."
Equation_num_38_text_1: "D sub n of a sub j, k is the determinant of a matrix containing elements a sub negative n, negative n, a sub negative n, negative n plus 1, and so on up to a sub negative n, n."
Equation_num_38_text_2: "The value of D sub n for a sub j, k is obtained by calculating the determinant of a matrix formed by the elements a sub negative n, negative n, a sub negative n, negative n plus 1, and so on up to a sub negative n, n."

Equation_num_39_latex: "a_{-n+1,-n}&a_{-n+1,-n+1}&\dots&a_{-n+1,n}"
Equation_num_39_text_0: "a sub negative n plus 1, negative n and a sub negative n plus 1, negative n plus 1, dot dot dot, a sub negative n plus 1, n."
Equation_num_39_text_1: "a negative n plus 1, negative n and a negative n plus 1, negative n plus 1, and so on until a negative n plus 1, n."
Equation_num_39_text_2: "a with a subscript negative n plus 1, negative n and a with a subscript negative n plus 1, negative n plus 1, and so on until a with a subscript negative n plus 1, n."

Equation_num_40_latex: "\vdots&\vdots&\ddots&\vdots"
Equation_num_40_text_0: "Dot dot dot, dot dot dot, dot dot dot, dot dot dot."
Equation_num_40_text_1: "Continuing pattern of dots, continuing pattern of dots, continuing pattern of dots, continuing pattern of dots."
Equation_num_40_text_2: "Dots in a vertical line, dots in a vertical line, dots in a diagonal line, dots in a vertical line."

Equation_num_41_latex: "a_{n,-n}&a_{n,-n+1}&\dots&a_{n,n}\end{vmatrix}"
Equation_num_41_text_0: "The determinant of the matrix with elements a sub n, negative n to a sub n, n."
Equation_num_41_text_1: "The determinant of the matrix containing elements a sub n, negative n to a sub n, n."
Equation_num_41_text_2: "The determinant of the matrix with entries a sub n, negative n to a sub n, n."

Equation_num_42_latex: "\sum^{\infty}_{j,k=-\infty}|a_{j,k}-\delta_{j,k}"
Equation_num_42_text_0: "The sum from negative infinity to positive infinity of the absolute value of a sub j,k minus delta sub j,k."
Equation_num_42_text_1: "The sum of the absolute difference between a sub j,k and delta sub j,k, as j and k range from negative infinity to positive infinity."
Equation_num_42_text_2: "The sum of the absolute values of the terms a sub j,k minus delta sub j,k, where j and k go from negative infinity to positive infinity."

Equation_num_43_latex: "f(c+)\equiv\lim_{x\to c+}f(x)=f(c)"
Equation_num_43_text_0: "The formula is f of c plus is equivalent to the limit as x approaches c from the right of f of x, which is equal to f of c."
Equation_num_43_text_1: "The formula reads as f of c plus is the same as the limit of f of x as x approaches c from the right, and this is equal to f of c."
Equation_num_43_text_2: "We have f of c plus equals the limit of f of x as x approaches c from the right, and this is equal to f of c."

Equation_num_44_latex: "|f(c+\alpha)-f(c)|<\epsilon"
Equation_num_44_text_0: "The absolute difference between f of c plus alpha and f of c is less than epsilon."
Equation_num_44_text_1: "The absolute value of the difference between f of c plus alpha and f of c is smaller than epsilon."
Equation_num_44_text_2: "The magnitude of the discrepancy between f of c plus alpha and f of c is smaller than epsilon."

Equation_num_45_latex: "f(c-)\equiv\lim_{x\to c-}f(x)=f(c)"
Equation_num_45_text_0: "The formula is f of c minus is equivalent to the limit as x approaches c from the left of f of x, which is equal to f of c."
Equation_num_45_text_1: "We have f of c minus equals the limit as x approaches c from the left of f of x, and this is equal to f of c."
Equation_num_45_text_2: "The formula states that f of c minus is the same as the limit of f of x as x approaches c from the left, and this limit is equal to f of c."

Equation_num_46_latex: "f^{\prime}(x)=\frac{\mathrm{d}f}{\mathrm{d}x}=\lim_{h\to 0}\frac{f(x+h)-f(x)}{h}"
Equation_num_46_text_0: "The derivative of f with respect to x is equal to the limit as h approaches zero of the difference quotient f of x plus h minus f of x, all divided by h."
Equation_num_46_text_1: "The derivative of f with respect to x is the limit of the change in f over the change in x, as the change in x approaches zero."
Equation_num_46_text_2: "To find the derivative of f with respect to x, we take the limit of the difference quotient f of x plus h minus f of x, divided by h, as h approaches zero."

Equation_num_47_latex: "(f+g)^{\prime}(x)=f^{\prime}(x)+g^{\prime}(x)"
Equation_num_47_text_0: "The derivative of f plus g, with respect to x, is equal to the derivative of f with respect to x, plus the derivative of g with respect to x."
Equation_num_47_text_1: "The derivative of the sum of f and g, with respect to x, equals the derivative of f with respect to x, plus the derivative of g with respect to x."
Equation_num_47_text_2: "To find the derivative of f plus g with respect to x, simply add the derivatives of f and g with respect to x."

Equation_num_48_latex: "(fg)^{\prime}(x)=f^{\prime}(x)g(x)+f(x)g^{\prime}(x)"
Equation_num_48_text_0: "The derivative of f times g, with respect to x, is equal to the derivative of f times g, plus f times the derivative of g."
Equation_num_48_text_1: "The derivative of f times g, with respect to x, equals the derivative of f times g, plus f times the derivative of g."
Equation_num_48_text_2: "To find the derivative of f times g with respect to x, we add the derivative of f times g to f times the derivative of g."

Equation_num_49_latex: "\left(\frac{f}{g}\right)^{\prime}(x)=\frac{f^{\prime}(x)g(x)-f(x)g^{\prime}(x)}{(g(x))^{2}}"
Equation_num_49_text_0: "The derivative of f divided by g, all raised to the power of prime, with respect to x, is equal to the numerator, which is f prime times g, minus f times g prime, divided by the denominator, which is g squared."
Equation_num_49_text_1: "The derivative of f divided by g prime, with respect to x, is equal to f prime times g, minus f times g prime, all divided by g squared."
Equation_num_49_text_2: "To find the derivative of f divided by g, with respect to x, we subtract the product of f prime and g from the product of f and g prime, and then divide the result by g squared."

Equation_num_50_latex: "f^{(n)}=f^{(n)}(x)=\frac{\mathrm{d}}{\mathrm{d}x}f^{(n-1)}(x)"
Equation_num_50_text_0: "The nth derivative of f, denoted as f to the power of n, is equal to the derivative of the (n-1)th derivative of f with respect to x."
Equation_num_50_text_1: "To find the nth derivative of f, which is represented as f to the power of n, we take the derivative of the (n-1)th derivative of f with respect to x."
Equation_num_50_text_2: "The formula states that the nth derivative of f, written as f to the power of n, is obtained by differentiating the (n-1)th derivative of f with respect to x."

Equation_num_51_latex: "f(b)-f(a)=(b-a)f^{\prime}(c)"
Equation_num_51_text_0: "The difference between the values of f at b and f at a is equal to the difference between b and a, multiplied by the derivative of f at c."
Equation_num_51_text_1: "The change in f from a to b is equal to the difference between b and a, multiplied by the derivative of f at c."
Equation_num_51_text_2: "The gap between f at b and f at a is the same as the gap between b and a, times the derivative of f at c."

Equation_num_52_latex: "\lim\limits_{x\to a}f(x)=\lim\limits_{x\to a}g(x)=0\;\;\mbox{(or $\infty$)}"
Equation_num_52_text_0: "The limit of f of x as x approaches a is equal to the limit of g of x as x approaches a, and both of them are zero or infinity."
Equation_num_52_text_1: "As x approaches a, both f of x and g of x tend to zero or infinity."
Equation_num_52_text_2: "When x gets closer to a, f of x and g of x both approach zero or infinity."

Equation_num_53_latex: "\lim_{x\to a}\frac{f(x)}{g(x)}=\lim_{x\to a}\frac{f^{\prime}(x)}{g^{\prime}(x)"
Equation_num_53_text_0: "The limit as x approaches a of f of x divided by g of x is equal to the limit as x approaches a of f prime of x divided by g prime of x."
Equation_num_53_text_1: "The limit of f of x over g of x as x approaches a is equal to the limit of f prime of x over g prime of x as x approaches a."
Equation_num_53_text_2: "As x approaches a, the ratio of f of x to g of x approaches the ratio of f prime of x to g prime of x."

Equation_num_54_latex: "\int x^{n}\,\mathrm{d}x=\begin{cases}\dfrac{x^{n+1}}{n+1}+C,&\quad n\not=-1,"
Equation_num_54_text_0: "The integral of x to the power of n, with respect to x, equals x to the power of n plus one, divided by n plus one, plus C, if n is not equal to negative one."
Equation_num_54_text_1: "The integral of x to the power of n, with respect to x, is x to the power of n plus one, divided by n plus one, plus C, when n is not negative one."
Equation_num_54_text_2: "When integrating x to the power of n with respect to x, the result is x to the power of n plus one, divided by n plus one, plus C, unless n is negative one."

Equation_num_55_latex: "\ln\left|x\right|+C,&\quad n=-1.\end{cases"
Equation_num_55_text_0: "The natural logarithm of the absolute value of x, plus C, when n is equal to negative one."
Equation_num_55_text_1: "The ln of the absolute value of x, plus C, when n equals negative one."
Equation_num_55_text_2: "ln of the absolute value of x, plus C, for n equals negative one."

Equation_num_56_latex: "\int^{b}_{a}f(x)\,\mathrm{d}x=\lim\sum^{n-1}_{j=0}f(\xi_{j})(x_{j+1}-x_{j}"
Equation_num_56_text_0: "The integral from a to b of f of x, dx, is equal to the limit as n approaches infinity of the sum from j equals 0 to n minus 1 of f of xi sub j times the difference between x sub j plus 1 and x sub j."
Equation_num_56_text_1: "The integral of f of x from a to b is the limit of the sum of f of xi sub j times the difference between x sub j plus 1 and x sub j, as n approaches infinity."
Equation_num_56_text_2: "To find the integral of f of x from a to b, we take the limit of a sum. The sum involves multiplying f of xi sub j by the difference between x sub j plus 1 and x sub j, as j goes from 0 to n minus 1, and n approaches infinity."

Equation_num_57_latex: "\int^{b}_{a}f(x)\,\mathrm{d}x=-\int^{a}_{b}f(x)\,\mathrm{d}x"
Equation_num_57_text_0: "The integral from a to b of f of x, dx, is equal to the negative integral from b to a of f of x, dx."
Equation_num_57_text_1: "The integral of f of x from a to b is the negative integral of f of x from b to a."
Equation_num_57_text_2: "The integral of f of x, dx, from a to b is the same as the negative integral of f of x, dx, from b to a."

Equation_num_58_latex: "\int^{\infty}_{a}f(x)\,\mathrm{d}x=\lim_{b\to\infty}\int^{b}_{a}f(x)\,\mathrm{d}x"
Equation_num_58_text_0: "The integral from a to infinity of f of x, dx, is equal to the limit as b approaches infinity of the integral from a to b of f of x, dx."
Equation_num_58_text_1: "The integral from a to infinity of f of x, dx, equals the limit as b goes to infinity of the integral from a to b of f of x, dx."
Equation_num_58_text_2: "The integral from a to infinity of f of x, dx, is the same as the limit of the integral from a to b of f of x, dx, as b gets larger and larger."

Equation_num_59_latex: "\int^{b}_{a}f(x)\,\mathrm{d}x=\lim_{c\to b-}\int^{c}_{a}f(x)\,\mathrm{d}x"
Equation_num_59_text_0: "The integral from a to b of f of x, dx, is equal to the limit as c approaches b from the left of the integral from a to c of f of x, dx."
Equation_num_59_text_1: "The integral of f of x from a to b is the same as the limit of the integral of f of x from a to c, as c gets closer to b from the left."
Equation_num_59_text_2: "To find the integral of f of x from a to b, we take the limit of the integral of f of x from a to c as c approaches b from the left."

Equation_num_60_latex: "\int^{b}_{a}f(x)\,\mathrm{d}x=F(b)-F(a)"
Equation_num_60_text_0: "The integral from a to b of f of x, with respect to x, is equal to the difference between F of b and F of a."
Equation_num_60_text_1: "The integral of f of x from a to b, with respect to x, is F of b minus F of a."
